nypd_station,mta_station,mta_borough,mta_borough_for_joining
Cortlandt Street (R),"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,Manhattan
Franklin Street (1),Franklin St (1),M,Manhattan
Lexington Ave. (F),"Lexington Av-63 St (F,Q)",M,Manhattan
"Wall Street (4,5)","Wall St (4,5)",M,Manhattan
111 Street (A),111 St (A),Q,Queens
"121 Street (J,Z)","121 St (J,Z)",Q,Queens
"65 Street (M,R)","65 St (M,R)",Q,Queens
69 Street (7),69 St (7),Q,Queens
"75 Avenue (E,F)","75 Av (E,F)",Q,Queens
"Beach 98 Street (A,S)","Beach 98 St (A,S)",Q,Queens
Roosevelt Island (F),Roosevelt Island (F),M,Manhattan
Bedford Pk. Blvd.-Lehman College (4),Bedford Park Blvd-Lehman College (4),Bx,Bronx
Middletown Road (6),Middletown Rd (6),Bx,Bronx
"15 St.-Prospect Park (F,G)","15 St-Prospect Park (F,G)",B,Brooklyn
55 Street (D),55 St (D),B,Brooklyn
9 Avenue (D),9 Av (D),B,Brooklyn
"Avenue ""I"" (F)",Avenue I (F),B,Brooklyn
Classon Avenue (G),Classon Av (G),B,Brooklyn
Court Street (R),"Court St (R)/Borough Hall (2,3,4,5)",B,Brooklyn
Cypress Hills (J),Cypress Hills (J),B,Brooklyn
"Fort Hamilton Pkwy (F,G)","Fort Hamilton Pkwy (F,G)",B,Brooklyn
Fort Hamilton Pkwy (N),Fort Hamilton Pkwy (N),B,Brooklyn
Fresh Pond Road (M),Fresh Pond Rd (M),Q,Queens
148 St.-Harlem (3),Harlem-148 St (3),M,Manhattan
155 Street (C),155 St (C),M,Manhattan
215 Street (1),215 St (1),M,Manhattan
231 Street (1),231 St (1),Bx,Bronx
"8 St.-Nyu (N,R)","8 St-New York University (R,W)",M,Manhattan
City Hall (R),"City Hall (R,W)",M,Manhattan
"Lexington Avenue (E,M)","Lexington Av-53 St (E,M)/51 St (6)",M,Manhattan
"Wall Street (2,3)","Wall St (2,3)",M,Manhattan
104 Street (A),104 St (A),Q,Queens
"30 Avenue (N,Q)","30 Av (N,W)",Q,Queens
"39 Avenue (N,Q)","39 Av-Dutch Kills (N,W)",Q,Queens
40 Street (7),40 St-Lowery St (7),Q,Queens
46 Street (7),46 St-Bliss St (7),Q,Queens
"75 St.-Elderts Lane (J,Z)","75 St-Elderts Ln (J,Z)",Q,Queens
"Rockaway Park-Beach 116 St. (A,S)","Rockaway Park-Beach 116 St (A,S)",Q,Queens
Willets Point-Shea Stadium (7),Mets-Willets Point (7),Q,Queens
Morris Park (5),Morris Park (5),Bx,Bronx
"Chauncey Street (J,Z)","Chauncey St (J,Z)",B,Brooklyn
"Clark Street (2,3)","Clark St (2,3)",B,Brooklyn
Franklin Avenue (S),"Franklin Av (C,S)",B,Brooklyn
New Utrecht Avenue (N),New Utrecht Av (N)/62 St (D),B,Brooklyn
"72 Street (B,C)","72 St (B,C)",M,Manhattan
Cortlandt Street (1),WTC Cortlandt (1),M,Manhattan
"Park Place (2,3)","Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,Manhattan
Rector Street (R),"Rector St (R,W)",M,Manhattan
"102 Street (J,Z)","Jamaica Center-Parsons-Archer (E,J,Z)",Q,Queens
21 Street (G),21 St (G),Q,Queens
"23 Street-Ely Avenue (E,M)","Court Sq (E,G,M,7)",Q,Queens
85 St.-Forest Pkwy. (J),85 St-Forest Pkwy (J),Q,Queens
"Northern Blvd. (M,R)","Northern Blvd (M,R)",Q,Queens
"Avenue ""N"" (F)",Avenue N (F),B,Brooklyn
"Avenue ""U"" (N)",Avenue U (N),B,Brooklyn
"Avenue ""X"" (F)",Avenue X (F),B,Brooklyn
"Hewes Street (J,M)","Hewes St (J,M)",B,Brooklyn
Rector Street (1),Rector St (1),M,Manhattan
"36 Avenue (N,Q)","36 Av (N,W)",Q,Queens
45 Road-Court House Square (7),"Court Sq (E,G,M,7)",Q,Queens
"Avenue ""U"" (F)",Avenue U (F),B,Brooklyn
Forest Avenue (M),Forest Av (M),Q,Queens
Metropolitan Avenue (M),Middle Village-Metropolitan Av (M),Q,Queens
"Avenue ""P"" (F)",Avenue P (F),B,Brooklyn
"36 Street (M,R)","36 St (M,R)",Q,Queens
50 Street (D),50 St (D),B,Brooklyn
Central Avenue (M),Central Av (M),B,Brooklyn
Canal Street (1),Canal St (1),M,Manhattan
Bay Parkway (F),Bay Pkwy (F),B,Brooklyn
Knickerbocker Avenue (M),Knickerbocker Av (M),B,Brooklyn
East Tremont Av.-Westchester S (6),Westchester Sq-East Tremont Av (6),Bx,Bronx
"East Tremont Ave.-West Farms S (2,5)","West Farms Sq-East Tremont Av (2,5)",Bx,Bronx
"36 Street (B,M,N,R)","36 St (D,N,R)",B,Brooklyn
"45 Street (N,R)",45 St (R),B,Brooklyn
"71 Street (B,M)",71 St (D),B,Brooklyn
"9th Street (M,N,R)","4 Av (F,G)/9 St (R)",B,Brooklyn
"Bay Parkway (B,M)",Bay Pkwy (N),B,Brooklyn
"Brighton Beach (D,Q)","Brighton Beach (B,Q)",B,Brooklyn
"Clinton-Washington Avenues (A,C)",Clinton-Washington Avs (C),B,Brooklyn
Cortelyou Road (D),Cortelyou Rd (Q),B,Brooklyn
"Grant Avenue (A,C)",Grant Av (A),B,Brooklyn
"Kings Highway (D,Q)","Kings Hwy (B,Q)",B,Brooklyn
"Pacific Street (B,M,N,R)","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",B,Brooklyn
"Sheepshead Bay (D,Q)","Sheepshead Bay (B,Q)",B,Brooklyn
"Stillwell Avenue-Coney Island (B,D,F,N)","Coney Island-Stillwell Av (D,F,N,Q)",B,Brooklyn
"Union Street (M,N,R)",Union St (R),B,Brooklyn
"116 Street (A,B,C)","116 St (B,C)",M,Manhattan
"42 St.-Port Authority Bus Term (A,C,E)","Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",M,Manhattan
"57 Street (N,R,S)","57 St-7 Av (N,Q,R,W)",M,Manhattan
"72 Street (1,2,3,9)","72 St (1,2,3)",M,Manhattan
"79 Street (1,9)",79 St (1),M,Manhattan
"Broadway/Lafayette (B,D,F,Q)","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",M,Manhattan
"Grand Street (B,D,Q)","Grand St (B,D)",M,Manhattan
"Union Square (N,R)","14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,Manhattan
West 34 Street/Hudson Yards (7),34 St-Hudson Yards (7),M,Manhattan
"Queens Plaza (E,F,G,R)","Queens Plaza (E,M,R)",Q,Queens
"Queensboro Plaza (N,7)","Queensboro Plaza (N,W,7)",Q,Queens
"Roosevelt Ave.-Jackson Heights (E,F,G,R)","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,Queens
"Woodhaven Blvd. (G,R)","Woodhaven Blvd (M,R)",Q,Queens
111 Street (J),111 St (J),Q,Queens
